Announced,Trade Date,Index,Ticker,Action,Last Px,Sector,Shs to Trade,$MM to Trade,ADV to Trade
4/28/2025,4/30/2025,S&P 400,OKTA US,Add,$104.79,Info Tech,"18,061,992","$1,892.70",622%
4/14/2025,4/16/2025,S&P 600,STRL US,Add,$135.23,Industrials,"4,004,975",541.60,528%
4/9/2025,4/15/2025,S&P 600,ACT US,Add,$33.37,Financials,"3,863,743",$128.90,1536%
3/26/2025,4/1/2025,S&P 600,ANGI US,Add,$16.43,Comm Svcs,"886,941",$14.60,454%
3/26/2025,3/28/2025,S&P 400,CAVA US,Add,$86.67,Cons Disc,"8,961,552",$776.70,223%
3/4/2025,3/10/2025,S&P 400,ACI US,Add,$19.76,Cons Stap,"44,061,573",870.70,962%
2/27/2025,3/5/2025,S&P 400,ENTG US,Add,$101.22,Info Tech,"16,590,452","$1,679.30",638%
2/19/2025,2/21/2025,S&P 500,SNDKV US,Add,$46.00,Info Tech,-,-,-
2/19/2025,2/21/2025,S&P 500,SNDK US,Add,$46.00,Info Tech,-,-,-
2/13/2025,2/18/2025,S&P 600,KAI US,Add,$354.19,Industrials,"1,531,548",542.5,1659%
2/10/2025,2/12/2025,S&P 600,GOLF US,Add,$63.83,Cons Disc,"3,599,221",229.7,1256%
1/22/2025,1/24/2025,S&P 400,GWRE US,Add,$183.49,Info Tech,"9,220,498","1,691.90",823%
1/7/2025,1/13/2025,S&P 400,CART US,Add,$42.91,Cons Stap,"17,771,426",762.6,528%
12/30/2024,1/2/2025,S&P 600,ACAD US,Add,$16.69,Healthcare,"16,155,405",269.6,920%
12/26/2024,12/31/2024,S&P 600,GDYN US,Add,$21.07,Info Tech,"8,105,238",170.8,1020%
12/23/2024,12/27/2024,S&P 600,INSW US,Add,$33.78,Energy,"5,305,207",179.2,782%
12/18/2024,12/20/2024,S&P 400,BILL US,Add,$83.69,Info Tech,"10,407,244",871.00,423%
11/21/2024,11/25/2024,S&P 600,AESI US,Add,$21.51,Energy,"7,878,442",169.5,816%
11/20/2024,11/22/2024,S&P 600,DFH US,Add,$27.91,Cons Disc,"3,671,013",102.50,891%
11/19/2024,11/26/2024,S&P 600,CON US,Add,$20.27,Healthcare,"14,188,352",304.8,3795%
11/19/2024,11/22/2024,S&P 400,FLEX US,Add,$37.33,Info Tech,"43,539,629","1,625.30",1637%
11/15/2024,11/19/2024,S&P 400,FOUR US,Add,$97.01,Financials,"7,197,528",698.2,583%
11/1/2024,11/5/2024,S&P 400,CHWY US,Add,$27.12,Cons Disc,"15,523,755",421,355%
10/30/2024,11/4/2024,S&P 400,MAGN US,Add,$24.57,Materials,-,-,-
10/29/2024,10/31/2024,S&P 600,ECGw US,Add,$50.00,Industrials,-,-,-
10/7/2024,10/10/2024,S&P 400,DOCU US,Add,$62.78,Info Tech,"22,375,459","1,404.70",826%
10/7/2024,10/10/2024,S&P 600,MDU US,Add,$27.44,Industrials,"27,117,104",744.1,2199%
10/4/2024,10/8/2024,S&P 600,HIMS US,Add,$17.66,Healthcare,"25,224,831",445.5,343%
10/1/2024,10/3/2024,S&P 600,CRGY US,Add,$11.17,Energy,"20,392,887",227.8,855%
9/26/2024,9/30/2024,S&P 400,ENSG US,Add,$147.43,Healthcare,"6,260,122",922.9,1838%
9/26/2024,9/30/2024,S&P 600,TMDX US,Add,$144.56,Healthcare,"4,350,014",628.8,506%
8/6/2024,8/8/2024,S&P 600,SWI US,Add,$11.04,Info Tech,"6,873,553",75.9,1247%
7/23/2024,7/30/2024,S&P 600,SNDR US,Add,$24.45,Industrials,"5,115,943",125.1,653%
7/23/2024,7/25/2024,S&P 400,AVTR US,Add,$21.17,Healthcare,"74,808,923","1,583.70",1048%
7/16/2024,7/19/2024,S&P 600,GTES US,Add,$16.97,Industrials,"25,154,971",426.9,997%
6/27/2024,7/2/2024,S&P 600,PTGX US,Add,$31.88,Healthcare,"7,780,892",248.1,1167%
6/20/2024,6/27/2024,S&P 400,RYAN US,Add,$55.36,Financials,"11,252,459",622.9,1932%
6/20/2024,6/24/2024,S&P 400,GRALV US,Add,$20.32,Healthcare,-,-,-
5/29/2024,5/31/2024,S&P 400,SRPT US,Add,$116.25,Healthcare,"10,288,299","1,196.00",900%
5/3/2024,5/7/2024,S&P 400,AAON US,Add,$78.40,Industrials,"7,410,925",581,1423%
5/3/2024,5/7/2024,S&P 600,MARA US,Add,$17.52,Info Tech,"29,030,300",508.6,67%
5/1/2024,5/3/2024,S&P 600,IAC US,Add,$47.85,Comm Svcs,"9,408,854",450.2,1783%
4/30/2024,5/6/2024,S&P 600,DOCN US,Add,$34.24,Info Tech,"6,795,304",232.7,714%
4/18/2024,4/22/2024,S&P 600,CNS US,Add,$66.11,Financials,"3,433,664",227,2338%
4/17/2024,4/19/2024,S&P 400,DUOL US,Add,$194.66,Cons Disc,"3,934,200",765.8,798%
3/26/2024,3/28/2024,S&P 400,ROIV US,Add,$10.08,Healthcare,"37,158,708",374.6,720%
3/25/2024,3/28/2024,S&P 400,APPF US,Add,$226.49,Info Tech,"2,247,009",508.9,1064%
2/28/2024,3/1/2024,S&P 600,CXM US,Add,$12.57,Info Tech,"14,740,780",185.3,1030%
2/26/2024,2/29/2024,S&P 400,AMH US,Add,$35.58,Real Estate,"35,004,636","1,245.50",1208%
1/17/2024,1/22/2024,S&P 600,BTU US,Add,$23.27,Energy,"14,832,602",345.2,544%
1/2/2024,1/4/2024,S&P 400,PSTG US,Add,$34.82,Info Tech,"32,226,927","1,122.10",767%
12/27/2023,12/29/2023,S&P 600,SATS US,Add,$15.08,Comm Svcs,"4,591,844",69.20,443%
12/19/2023,12/29/2023,S&P 600,RUSHA US,Add,$43.93,Industrials,"8,296,769",364.5,2831%
12/2/2023,12/16/2022,S&P 400,ALGM,Add,,Info Tech,"7,363,404",239.2,667%
12/2/2023,12/16/2022,S&P 400,CUBE,Add,,Real Estate,"24,998,123","1,073.90",1333%
12/2/2023,12/16/2022,S&P 600,AGTI,Add,,Health Care,"4,565,969",75.4,1363%
12/2/2023,12/16/2022,S&P 600,CWK,Add,,Real Estate,"23,443,576",278.7,1016%
12/2/2023,12/16/2022,S&P 600,SJW,Add,,Utilities,"3,423,030",270.4,1413%
11/27/2023,11/29/2023,S&P 400,CG US,Add,$32.82,Financials,"23,821,623",781.8,1060%
11/27/2023,11/29/2023,S&P 400,WPC US,Add,$59.15,Real Estate,"23,544,696","1,392.70",1794%
11/27/2023,11/29/2023,S&P 600,CWEN US,Add,$22.87,Utilities,"11,032,309",252.3,1092%
11/27/2023,11/29/2023,S&P 600,CWEN.A US,Add,$21.29,Utilities,"4,635,161",98.7,2107%
11/8/2023,11/10/2023,S&P 400,CNM US,Add,$31.08,Industrials,"13,406,513",416.7,672%
11/7/2023,11/9/2023,S&P 600,AMR US,Add,$207.03,Materials,"1,618,863",335.2,692%
11/2/2023,11/6/2023,S&P 400,BURL US,Add,$126.26,Cons Disc,"7,144,767",902.1,575%
10/17/2023,10/19/2023,S&P 400,FND US,Add,$84.91,Cons Disc,"11,698,086",993.3,765%
10/13/2023,10/17/2023,S&P 500,LULU US,Add,$377.69,Cons Disc,"20,154,161","7,612.00",1483%
10/11/2023,10/16/2023,S&P 400,NATL US,Add,$23.00,Info Tech,-,-,-
10/9/2023,10/11/2023,S&P 400,H US,Add,$104.46,Cons Disc,"5,050,135",527.5,766%
9/26/2023,9/28/2023,S&P 600,HAYW US,Add,$13.41,Industrials,"17,377,215",233,
8/28/2023,8/31/2023,S&P 600,GSHD US,Add,$59.58,Financials,"3,140,678",187.1,2270%
8/28/2023,8/31/2023,S&P 600,JXN US,Add,$34.63,Financials,"7,861,196",272.2,1085%
8/21/2023,8/24/2023,S&P 500,KVUE US,Add,$22.90,Cons Stap,"300,389,422","6,878.90",881%
8/21/2023,8/24/2023,S&P 600,AAP US,Add,$68.20,Cons Disc,"8,213,779",560.2,422%
8/17/2023,8/21/2023,S&P 400,DLB US,Add,$76.82,Info Tech,"6,542,380",502.6,1690%
8/16/2023,8/18/2023,S&P 400,CHK US,Add,$82.58,Energy,"11,812,601",975.5,848%
8/1/2023,8/7/2023,S&P 400,ERIE US,Add,$220.37,Financials,"2,741,132",604.1,1605%
8/1/2023,8/3/2023,S&P 400,PAG US,Add,$162.61,Cons Disc,"2,663,745",433.2,921%
7/27/2023,7/31/2023,S&P 600,MSGS US,Add,$190.10,Comm Svcs,"2,356,410",448,1874%
7/19/2023,7/21/2023,S&P 400,ELS US,Add,$66.98,Real Estate,"19,306,625","1,293.20",1824%
6/28/2023,6/30/2023,S&P 500,FTREV US,Add,$34.26,Healthcare,-,-,-
6/20/2023,6/22/2023,S&P 600,ABR US,Add,$13.44,Financials,"25,253,843",339.4,738%
6/7/2023,6/13/2023,S&P 600,PRVA US,Add,$25.28,Healthcare,"12,157,743",307.3,643%
6/7/2023,6/13/2023,S&P 600,EXPI US,Add,$16.69,Real Estate,"10,059,275",167.9,1402%
6/5/2023,6/16/2023,S&P 600,APAM,Add,$33.16,Financials,"9,118,125",302.4,2269%
6/5/2023,6/16/2023,S&P 400,BERY,Add,$59.94,Materials,"12,774,312",765.70,1587%
6/5/2023,6/16/2023,S&P 400,BWXT,Add,$62.99,Industrials,"9,886,809",622.80,2032%
6/5/2023,6/16/2023,S&P 600,CARG,Add,$19.50,Communication Services,"11,543,989",225.1,965%
